GVKEY,DATADATE,POINTDATE,qtrsback,conm,datacqtr,ACTQh,ACTQh_dc,AOQh,AOQh_dc,APQh,APQh_dc,ATQh,ATQh_dc,CEQQh,CEQQh_dc,CHEQh,CHEQh_dc,DLTTQh,DLTTQh_dc,DOQh,DOQh_dc,DVPQh,DVPQh_dc,DVQh,DVQh_dc,IBADJQh,IBADJQh_dc,IBCOMQh,IBCOMQh_dc,IBQh,IBQh_dc,ICAPTQh,ICAPTQh_dc,LCOQh,LCOQh_dc,LCTQh,LCTQh_dc,LOQh,LOQh_dc,LTQh,LTQh_dc,NIQh,NIQh_dc,NOPIQh,NOPIQh_dc,PIQh,PIQh_dc,PPENTQh,PPENTQh_dc,PSTKQh,PSTKQh_dc,PSTKRQh,PSTKRQh_dc,SALEQh,SALEQh_dc,SEQQh,SEQQh_dc,TEQQh,TEQQh_dc,TXTQh,TXTQh_dc,XIDOQh,XIDOQh_dc
002184,20180131,20180430,0,BEST BUY CO INC,Q4Y17,9829,,799,,4873,,13049,,3612,,3332,,811,,0,,0,,409,,364,,364,,364,,4423,,2263,,7817,,809,,9437,,364,,19,,873,,2421,,0,,0,,15363,,3612,,3612,,509,,0,
002269,20180131,20180331,0,BLOCK H & R INC,Q4Y17,1284.141,,1027.248,,163.653,,2561.3,,-698.069,,270.399,,2284.231,,-2.72,,0,,150.258,,-243.102,,-242.925,,-242.925,,1586.162,,337.614,,666.528,,308.61,,3259.369,,-245.645,,1.028,,-120.805,,249.911,,0,,0,,488.426,,-698.069,,-698.069,,122.12,,-2.72,
002269,20180131,20180430,0,BLOCK H & R INC,Q4Y17,1284.141,,1027.248,,163.653,,2561.3,,-698.069,,270.399,,2284.231,,-2.72,,0,,150.258,,-243.102,,-242.925,,-242.925,,1586.162,,337.614,,666.528,,308.61,,3259.369,,-245.645,,1.028,,-120.805,,249.911,,0,,0,,488.426,,-698.069,,-698.069,,122.12,,-2.72,
002277,20180131,20180430,0,BLUE RIDGE REAL ESTATE CO,Q4Y17,,,5.33,,0.241,,28.302,,17.668,,2.158,,6.309,,0,,0,,0,,-0.811,,-0.811,,-0.811,,23.977,,0.276,,,,3.484,,10.634,,-0.811,,0.044,,-0.784,,20.795,,0,,0,,0.855,,17.668,,17.668,,0.027,,0,
002285,20180331,20180430,0,BOEING CO,Q1Y18,86543,,14378,,12613,,113549,,1222,,9891,,10471,,0,,0,,1006,,2474,,2477,,2477,,11769,,60938,,75532,,24247,,112251,,2477,,165,,2839,,12628,,0,,0,,23382,,1222,,1298,,362,,0,
002352,20180131,20180331,0,BRADY CORP,Q4Y17,414.122,,522.482,,64.365,,1034.385,,731.973,,115.327,,14.815,,0,,0,,21.373,,4.273,,4.273,,4.273,,746.788,,100.637,,171.672,,115.925,,302.412,,4.273,,1.056,,35.023,,97.781,,0,,0,,287.78,,731.973,,731.973,,30.75,,0,
002352,20180131,20180430,0,BRADY CORP,Q4Y17,414.122,,522.482,,64.365,,1034.385,,731.973,,115.327,,14.815,,0,,0,,21.373,,4.273,,4.273,,4.273,,746.788,,100.637,,171.672,,115.925,,302.412,,4.273,,1.056,,35.023,,97.781,,0,,0,,287.78,,731.973,,731.973,,30.75,,0,
002403,20180331,20180430,0,BRISTOL-MYERS SQUIBB CO,Q1Y18,14649,,13374,,1725,,33083,,12793,,6770,,5775,,0,,0,,653,,1486,,1486,,1486,,18681,,5678,,9624,,4778,,20177,,1486,,466,,1779,,5060,,0,,0,,5193,,12793,,12906,,284,,0,
002435,20180131,20180331,0,BROWN FORMAN CORP,Q4Y17,2641,,1635,,584,,5042,,1201,,287,,1770,,0,,0,,216,,190,,190,,190,,2971,,557,,1486,,524,,3841,,190,,6,,289,,766,,0,,0,,878,,1201,,1201,,99,,0,
002435,20180131,20180430,0,BROWN FORMAN CORP,Q4Y17,2641,,1635,,584,,5042,,1201,,287,,1770,,0,,0,,216,,190,,190,,190,,2971,,557,,1486,,524,,3841,,190,,6,,289,,766,,0,,0,,878,,1201,,1201,,99,,0,
002436,20180131,20180430,0,CALERES INC,Q4Y17,846.789,,429.827,,272.962,,1489.415,,717.489,,70.492,,197.472,,0,,0,,12.027,,19.771,,20.316,,20.316,,916.434,,148.975,,430.159,,92.155,,770.453,,20.316,,0.172,,26.245,,212.799,,0,,0,,702.465,,717.489,,718.962,,5.945,,0,
002519,20180131,20180430,0,BUTLER NATIONAL CORP,Q4Y17,16.201,,12.9,,1.425,,39.598,,23.787,,5.121,,2.127,,0,,0,,0,,0.02,,0.02,,0.02,,30.883,,3.073,,8.715,,0,,10.842,,0.02,,0.001,,0.357,,10.497,,0,,0,,11.011,,23.787,,28.756,,0.01,,0,
002574,20180331,20180430,0,CSX CORP,Q1Y18,3542,,2149,,905,,37439,,14378,,1990,,13768,,0,,0,,194,,695,,695,,695,,28159,,693,,1891,,904,,23048,,695,,42,,912,,31748,,0,,0,,2876,,14378,,14391,,217,,0,
002663,20180131,20180331,0,CAMPBELL SOUP CO,Q4Y17,1928,,3890,,707,,8336,,1942,,196,,2247,,0,,0,,216,,285,,285,,285,,4196,,629,,3012,,745,,6387,,285,,11,,211,,2518,,0,,0,,2180,,1942,,1949,,-74,,0,
002663,20180131,20180430,0,CAMPBELL SOUP CO,Q4Y17,1928,,3890,,707,,8336,,1942,,196,,2247,,0,,0,,216,,285,,285,,285,,4196,,629,,3012,,745,,6387,,285,,11,,211,,2518,,0,,0,,2180,,1942,,1949,,-74,,0,
002710,20180228,20180430,0,CONSTELLATION BRANDS,Q1Y18,3474,,12275,,592.2,,20538.7,,8046.1,,90.3,,9417.6,,0,,0,,400.1,,925.5,,925.5,,925.5,,17480.3,,534.9,,1944.7,,395.4,,12476,,925.5,,239.4,,588.4,,4789.7,,0,,0,,1765.9,,8046.1,,8062.7,,-340.4,,0,
002787,20180331,20180430,0,CARPENTER TECHNOLOGY CORP,Q1Y18,1191.3,,505,,217.7,,2991.9,,1371.1,,46.8,,546.3,,0,,0,,25.8,,29.9,,30.2,,30.2,,1917.4,,128.4,,401.1,,542.6,,1620.8,,30.2,,0.7,,37.7,,1295.6,,0,,0,,572.2,,1371.1,,1371.1,,7.5,,0,
002807,20180131,20180331,0,CASEYS GENERAL STORES INC,Q4Y17,476.235,,172.302,,294.262,,3453.181,,1329.803,,138.711,,1299.311,,0,,0,,29.023,,192.965,,192.965,,192.965,,2629.114,,151.588,,461.219,,38.276,,2123.378,,192.965,,0,,26.371,,2804.644,,0,,0,,2054.603,,1329.803,,1329.803,,-166.594,,0,
002807,20180131,20180430,0,CASEYS GENERAL STORES INC,Q4Y17,476.235,,172.302,,294.262,,3453.181,,1329.803,,138.711,,1299.311,,0,,0,,29.023,,192.965,,192.965,,192.965,,2629.114,,151.588,,461.219,,38.276,,2123.378,,192.965,,0,,26.371,,2804.644,,0,,0,,2054.603,,1329.803,,1329.803,,-166.594,,0,
002818,20180131,20180331,0,CATO CORP  -CL A,Q4Y17,372.48,,34.228,,82.605,,516.076,,326.353,,200.605,,0,,0,,0,,33.731,,-15.146,,-15.505,,-15.505,,326.353,,55.796,,139.081,,50.642,,189.723,,-15.505,,1.525,,-7.82,,109.368,,0,,0,,213.006,,326.353,,326.353,,7.685,,0,
002818,20180131,20180430,0,CATO CORP  -CL A,Q4Y17,372.48,,34.228,,82.605,,516.076,,326.353,,200.605,,0,,0,,0,,33.731,,-15.146,,-15.505,,-15.505,,326.353,,55.796,,139.081,,50.642,,189.723,,-15.505,,1.525,,-7.82,,109.368,,0,,0,,213.006,,326.353,,326.353,,7.685,,0,
002829,20180131,20180430,0,R F INDUSTRIES LTD,Q4Y17,18.829,,7.396,,2.101,,26.851,,21.853,,5.88,,0,,0,,0,,0.176,,0.454,,0.454,,0.454,,21.853,,2.697,,4.894,,0,,4.998,,0.454,,0.003,,0.557,,0.626,,0,,0,,10.341,,21.853,,21.853,,0.103,,0,
002942,20180131,20180331,0,CANTEL MEDICAL CORP,Q4Y17,282.979,,505.047,,33.788,,883.703,,586.483,,39.977,,160,,0,,0,,3.545,,32.381,,32.488,,32.488,,746.483,,75.813,,109.601,,3.476,,297.22,,32.488,,0,,31.347,,95.677,,0,,0,,213.034,,586.483,,586.483,,-1.141,,0,
002942,20180131,20180430,0,CANTEL MEDICAL CORP,Q4Y17,282.979,,505.047,,33.788,,883.703,,586.483,,39.977,,160,,0,,0,,3.545,,32.381,,32.488,,32.488,,746.483,,75.813,,109.601,,3.476,,297.22,,32.488,,0,,31.347,,95.677,,0,,0,,213.034,,586.483,,586.483,,-1.141,,0,
003062,20180228,20180430,0,CINTAS CORP,Q1Y18,1979.576,,3581.437,,172.181,,6928.593,,2893.997,,186.256,,2534.76,,6.306,,0,,175.589,,290.541,,295.789,,295.789,,5428.757,,557.892,,917.573,,205.598,,4034.596,,302.095,,0.384,,174.507,,1367.58,,0,,0,,1589.138,,2893.997,,2893.997,,-121.282,,6.306,
003170,20180331,20180430,0,COLGATE-PALMOLIVE CO,Q1Y18,4292,,4765,,1209,,13144,,-249,,906,,6550,,0,,0,,352,,634,,634,,634,,6651,,2180,,3980,,2264,,13043,,634,,-40,,924,,4087,,0,,0,,4002,,-249,,101,,246,,0,
003226,20180331,20180430,0,COMCAST CORP,Q1Y18,18753,,133055,,7349,,190876,,69482,,6109,,63678,,0,,0,,738,,3118,,3118,,3118,,135742,,8791,,19179,,11253,,118812,,3118,,126,,3994,,39068,,0,,0,,22791,,69482,,70710,,818,,0,
003246,20180228,20180430,0,COMMERCIAL METALS,Q1Y18,1648.038,,179.24,,247.586,,2910.48,,1451.287,,195.184,,799.834,,0.389,,0,,27.995,,9.781,,9.781,,9.781,,2251.307,,263.781,,530.325,,109.919,,1459.007,,10.17,,3,,11.509,,1083.202,,0,,0,,1054.268,,1451.287,,1451.473,,1.728,,0.389,
003358,20180131,20180331,0,COMTECH TELECOMMUN,Q4Y17,245.067,,547.462,,27.662,,822.651,,490.621,,40.472,,175.11,,0,,0,,4.821,,15.761,,15.761,,15.761,,665.731,,87.867,,134.598,,16.234,,332.03,,15.761,,0.048,,2.412,,30.122,,0,,0,,133.731,,490.621,,490.621,,-13.349,,0,
003358,20180131,20180430,0,COMTECH TELECOMMUN,Q4Y17,245.067,,547.462,,27.662,,822.651,,490.621,,40.472,,175.11,,0,,0,,4.821,,15.761,,15.761,,15.761,,665.731,,87.867,,134.598,,16.234,,332.03,,15.761,,0.048,,2.412,,30.122,,0,,0,,133.731,,490.621,,490.621,,-13.349,,0,
003362,20180228,20180430,0,CONAGRA BRANDS INC,Q1Y18,2058.1,,6777.8,,869.6,,10463.2,,3720.5,,132.9,,3232.9,,14.5,,0,,257.7,,348.3,,348.3,,348.3,,7042.4,,691.5,,1990.7,,1430.1,,6653.7,,362.8,,26.2,,257.8,,1627.3,,0,,0,,1994.5,,3720.5,,3809.5,,-91.4,,14.5,
003439,20180331,20180430,0,CMS ENERGY CORP,Q1Y18,2207,,3757,,540,,22868,,4596,,221,,9082,,0,,0,,101,,241,,241,,241,,13715,,391,,2482,,5259,,18235,,241,,29,,281,,16904,,37,,0,,1953,,4633,,4633,,40,,0,
003504,20180131,20180331,0,COOPER COMPANIES INC,Q4Y17,1175.5,,4141.1,,107.9,,6268.6,,3156.3,,91.7,,2372.9,,0,,0,,0,,-122.5,,-122.5,,-122.5,,5529.3,,278.2,,415.7,,282.8,,3112.2,,-122.5,,3,,74.8,,952,,0,,0,,590,,3156.3,,3156.4,,197.3,,0,
003504,20180131,20180430,0,COOPER COMPANIES INC,Q4Y17,1175.5,,4141.1,,107.9,,6268.6,,3156.3,,91.7,,2372.9,,0,,0,,0,,-122.5,,-122.5,,-122.5,,5529.3,,278.2,,415.7,,282.8,,3112.2,,-122.5,,3,,74.8,,952,,0,,0,,590,,3156.3,,3156.4,,197.3,,0,
003532,20180331,20180430,0,CORNING INC,Q1Y18,7663,,4755,,1164,,26834,,12113,,3096,,4808,,0,,24,,177,,-613,,-613,,-589,,19296,,1259,,2995,,4029,,12346,,-589,,-607,,-465,,14416,,2300,,0,,2500,,14413,,14488,,124,,0,
003570,20180131,20180228,0,CRACKER BARREL OLD CTRY STOR,Q4Y17,372.978,,69.725,,106.502,,1556.943,,615.625,,168.808,,400,,0,,0,,59.453,,91.139,,91.139,,91.139,,1015.625,,231.368,,365.105,,132.639,,941.318,,91.139,,0,,72.994,,1114.24,,0,,0,,787.771,,615.625,,615.625,,-18.145,,0,
003570,20180131,20180331,0,CRACKER BARREL OLD CTRY STOR,Q4Y17,372.978,,69.725,,106.502,,1556.943,,615.625,,168.808,,400,,0,,0,,59.453,,91.139,,91.139,,91.139,,1015.625,,231.368,,365.105,,132.639,,941.318,,91.139,,0,,72.994,,1114.24,,0,,0,,787.771,,615.625,,615.625,,-18.145,,0,
003570,20180131,20180430,0,CRACKER BARREL OLD CTRY STOR,Q4Y17,372.978,,69.725,,106.502,,1556.943,,615.625,,168.808,,400,,0,,0,,59.453,,91.139,,91.139,,91.139,,1015.625,,231.368,,365.105,,132.639,,941.318,,91.139,,0,,72.994,,1114.24,,0,,0,,787.771,,615.625,,615.625,,-18.145,,0,
003647,20180131,20180430,0,CULP INC,Q4Y17,126.968,,38.038,,32.434,,216.844,,152.182,,42.106,,0,,0,,0,,5.722,,-0.748,,-0.748,,-0.748,,152.182,,10.396,,44.41,,18.156,,64.662,,-0.748,,-0.153,,7.46,,51.838,,0,,0,,85.311,,152.182,,152.182,,8.208,,0,
003735,20180331,20180430,0,DANAHER CORP,Q1Y18,7075.1,,37594.2,,1579,,47145.2,,27189.9,,1045.7,,10410.7,,0,,0,,97.5,,566.6,,566.6,,566.6,,37612.5,,2765.2,,4442.9,,5089.8,,19943.4,,566.6,,9.2,,713.1,,2475.9,,0,,0,,4695.4,,27189.9,,27201.8,,146.5,,0,
003813,20180131,20180331,0,TARGET CORP,Q4Y17,12564,,1417,,8677,,38999,,11709,,2643,,11317,,-1,,0,,1338,,1102,,1102,,1102,,23026,,4228,,13201,,2059,,27290,,1101,,0,,1018,,25018,,0,,0,,22766,,11709,,11709,,-84,,-1,
003813,20180131,20180430,0,TARGET CORP,Q4Y17,12564,,1417,,8677,,38999,,11709,,2643,,11317,,-1,,0,,1338,,1102,,1102,,1102,,23026,,4228,,13201,,2059,,27290,,1101,,0,,1018,,25018,,0,,0,,22766,,11709,,11709,,-84,,-1,
003835,20180131,20180331,0,DEERE & CO,Q4Y17,,,9575.4,,8489.7,,66577.5,,9252.6,,3937.1,,26421.8,,0,,0,,193,,-535.1,,-535.1,,-535.1,,35700.7,,0,,,,7625.1,,57298.6,,-535.1,,4.9,,522.8,,12401,,0,,0,,6913.5,,9252.6,,9264.9,,1057.5,,0,
003835,20180131,20180430,0,DEERE & CO,Q4Y17,,,9575.4,,8489.7,,66577.5,,9252.6,,3937.1,,26421.8,,0,,0,,193,,-535.1,,-535.1,,-535.1,,35700.7,,0,,,,7625.1,,57298.6,,-535.1,,4.9,,522.8,,12401,,0,,0,,6913.5,,9252.6,,9264.9,,1057.5,,0,
003836,20180131,20180331,0,DEERE (JOHN) CAPITAL CORP,Q4Y17,,,572.2,,785.7,,34449.1,,4072.4,,1103,,17520.2,,0,,0,,20,,399.4,,399.4,,399.4,,21593.1,,0,,,,423.1,,30376.2,,399.4,,0.8,,142.5,,4672.9,,0,,0,,585.2,,4072.4,,4072.9,,-256.9,,0,
003836,20180131,20180430,0,DEERE (JOHN) CAPITAL CORP,Q4Y17,,,572.2,,785.7,,34449.1,,4072.4,,1103,,17520.2,,0,,0,,20,,399.4,,399.4,,399.4,,21593.1,,0,,,,423.1,,30376.2,,399.4,,0.8,,142.5,,4672.9,,0,,0,,585.2,,4072.4,,4072.9,,-256.9,,0,
003851,20180331,20180430,0,DELTA AIR LINES INC,Q1Y18,7724,,19258,,3351,,54078,,12557,,1970,,6360,,0,,0,,217,,547,,547,,547,,18917,,14372,,20012,,15149,,41521,,547,,-20,,718,,27096,,0,,0,,9968,,12557,,12557,,171,,0,
003897,20180331,20180430,0,DTE ENERGY CO,Q1Y18,2957,,10014,,920,,33841,,9888,,186,,12185,,0,,0,,158,,361,,361,,361,,22548,,880,,2541,,6694,,23478,,361,,37,,419,,20870,,0,,0,,3753,,9888,,10363,,68,,0,
003964,20180131,20180430,0,DILLARDS INC  -CL A,Q4Y17,1729.851,,247.042,,642.217,,3673.169,,1708.155,,187.028,,568.309,,0,,0,,9.424,,157.563,,157.563,,157.563,,2276.464,,193.53,,1039.701,,240.173,,1965.014,,157.563,,0.806,,116.758,,1696.276,,0,,0,,2109.173,,1708.155,,1708.155,,-40.805,,0,
004016,20180131,20180331,0,DOLLAR GENERAL CORP,Q4Y17,4247.852,,5567.777,,2009.771,,12516.911,,6125.774,,267.441,,2604.613,,0,,0,,282.931,,712.155,,712.155,,712.155,,8730.387,,549.658,,2964.878,,305.944,,6391.137,,712.155,,0,,599.157,,2701.282,,0,,0,,6129.431,,6125.774,,6125.774,,-112.998,,0,
004016,20180131,20180430,0,DOLLAR GENERAL CORP,Q4Y17,4247.852,,5567.777,,2009.771,,12516.911,,6125.774,,267.441,,2604.613,,0,,0,,282.931,,712.155,,712.155,,712.155,,8730.387,,549.658,,2964.878,,305.944,,6391.137,,712.155,,0,,599.157,,2701.282,,0,,0,,6129.431,,6125.774,,6125.774,,-112.998,,0,
004036,20180131,20180331,0,DONALDSON CO INC,Q4Y17,1279.9,,343.7,,200,,2131.3,,822.3,,362.2,,667.7,,0,,0,,46.8,,-52.9,,-52.9,,-52.9,,1494.6,,216.9,,435,,197,,1304.4,,-52.9,,-1.8,,76.4,,507.7,,0,,0,,666.4,,822.3,,826.9,,129.3,,0,
004036,20180131,20180430,0,DONALDSON CO INC,Q4Y17,1279.9,,343.7,,200,,2131.3,,822.3,,362.2,,667.7,,0,,0,,46.8,,-52.9,,-52.9,,-52.9,,1494.6,,216.9,,435,,197,,1304.4,,-52.9,,-1.8,,76.4,,507.7,,0,,0,,666.4,,822.3,,826.9,,129.3,,0,
